,score,shots
Arsenal21,55.0,372.5
Aston Villa21,55.0,421.0
Brighton and Hove Albion21,40.0,399.5
Burnley21,33.0,309.0
Chelsea21,58.0,459.0
Crystal Palace21,41.0,297.5
Everton21,47.0,330.5
Fulham21,27.0,358.0
Leeds United21,62.0,441.5
Leicester City21,68.0,378.0
Liverpool21,68.0,504.5
Manchester City21,83.0,490.0
Manchester United21,73.0,429.0
Newcastle United21,46.0,323.5
Sheffield United21,20.0,268.0
Southampton21,47.0,336.0
Tottenham Hotspur21,68.0,351.0
West Bromwich Albion21,35.0,282.5
West Ham United21,62.0,407.5
Wolverhampton Wanderers21,36.0,370.5
Arsenal20,56.0,352.0
Aston Villa20,41.0,375.5
Brighton and Hove Albion20,39.0,380.0
Burnley20,43.0,325.5
Chelsea20,69.0,512.0
Crystal Palace20,31.0,320.0
Everton20,44.0,391.0
Leicester City20,67.0,440.5
Liverpool20,85.0,498.5
Manchester City20,102.0,610.0
Manchester United20,66.0,422.5
Newcastle United20,38.0,312.0
Sheffield United20,39.0,315.5
Southampton20,51.0,391.5
Tottenham Hotspur20,61.0,358.0
West Ham United20,49.0,352.0
Wolverhampton Wanderers20,51.0,382.0
Arsenal19,73.0,389.5
Brighton and Hove Albion19,35.0,299.0
Burnley19,45.0,310.5
Chelsea19,63.0,488.5
Crystal Palace19,51.0,405.5
Everton19,54.0,403.0
Fulham19,34.0,348.0
Leicester City19,51.0,406.0
Liverpool19,89.0,476.0
Manchester City19,95.0,542.0
Manchester United19,65.0,418.5
Newcastle United19,42.0,359.0
Southampton19,45.0,375.5
Tottenham Hotspur19,67.0,431.5
West Ham United19,52.0,373.0
Wolverhampton Wanderers19,47.0,387.0
Arsenal18,74.0,481.5
Brighton and Hove Albion18,34.0,310.0
Burnley18,36.0,302.0
Chelsea18,62.0,485.5
Crystal Palace18,45.0,389.0
Everton18,44.0,294.0
Leicester City18,56.0,342.0
Liverpool18,84.0,507.5
Manchester City18,106.0,535.5
Manchester United18,68.0,410.0
Newcastle United18,39.0,349.0
Southampton18,37.0,361.5
Tottenham Hotspur18,74.0,485.5
West Bromwich Albion18,31.0,305.0
West Ham United18,48.0,302.0
Arsenal17,77.0,15.0
Burnley17,39.0,10.0
Crystal Palace17,50.0,6.0
Everton17,62.0,18.5
Manchester City17,80.0,13.0
West Ham United17,47.0,26.0
